,Deck,Player,ID,Tournament,Date,Format,Size,Decklist,Deck Adjusted
20,Four-Color Copycat,PepRequena,2457071,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"3 Aether Hub
4 Botanical Sanctum
1 Brazen Borrower
4 Breeding Pool
2 Elvish Mystic
4 Felidar Guardian
4 Gilded Goose
2 Heart of Kiran
3 Inspiring Vantage
1 Island
3 Llanowar Elves
1 Mana Confluence
4 Oath of Nissa
4 Oko, Thief of Crowns
1 Once Upon a Time
2 Reflector Mage
2 Rogue Refiner
4 Saheeli Rai
1 Stomping Ground
4 Teferi, Time Raveler
3 Temple Garden
2 Wild Slash
1 Yavimaya Coast

3 Deafening Clarion
1 Display of Dominance
2 Knight of Autumn
2 Mystical Dispute
2 Rest in Peace
1 Surge of Righteousness
1 Vandalblast
3 Veil of Summer",
21,Four-Color Copycat,_Phoenix_,2457073,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"3 Aether Hub
4 Botanical Sanctum
4 Breeding Pool
3 Elvish Mystic
4 Felidar Guardian
4 Gilded Goose
3 Heart of Kiran
3 Inspiring Vantage
1 Island
2 Llanowar Elves
1 Mana Confluence
4 Oath of Nissa
4 Oko, Thief of Crowns
1 Reflector Mage
3 Rogue Refiner
4 Saheeli Rai
1 Stomping Ground
1 Tamiyo, Collector of Tales
4 Teferi, Time Raveler
3 Temple Garden
2 Wild Slash
1 Yavimaya Coast

3 Authority of the Consuls
2 Deafening Silence
2 Knight of Autumn
2 Mystical Dispute
3 Rest in Peace
1 Tamiyo, Collector of Tales
2 Veil of Summer",
22,Four-Color Copycat Energy,lighdar,2457067,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Aether Hub
4 Attune with Aether
4 Botanical Sanctum
2 Elvish Mystic
4 Felidar Guardian
2 Forest
4 Gilded Goose
4 Harnessed Lightning
1 Inspiring Vantage
1 Island
2 Llanowar Elves
1 Mana Confluence
1 Mountain
4 Oath of Nissa
3 Oko, Thief of Crowns
1 Plains
4 Rogue Refiner
4 Saheeli Rai
1 Spirebluff Canal
2 Stomping Ground
4 Teferi, Time Raveler
3 Temple Garden

2 Chandra, Torch of Defiance
1 Dragonlord Silumgar
2 Glorybringer
1 Knight of Autumn
2 Mystical Dispute
2 Reflector Mage
1 Rest in Peace
2 Veil of Summer
1 Wear/Tear
1 Wild Slash",
23,Gruul Aggro,Finespoo,2457061,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Atarka's Command
3 Bonecrusher Giant
4 Burning-Tree Emissary
2 Embercleave
4 Experiment One
5 Forest
4 Game Trail
4 Ghor-Clan Rampager
3 Mountain
3 Once Upon a Time
4 Pelt Collector
4 Reckless Bushwhacker
4 Rootbound Crag
4 Stomping Ground
1 Voltaic Brawler
4 Zhur-Taa Goblin
3 Zurgo Bellstriker

1 Abrade
3 Chandra, Torch of Defiance
2 Destructive Revelry
1 Lava Coil
2 Rampaging Ferocidon
2 Rending Volley
2 Veil of Summer
2 Wild Slash",Rx Aggro
24,Izzet Phoenix,adrianretamosa,2457068,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Arclight Phoenix
4 Chart a Course
4 Fiery Temper
4 Island
4 Izzet Charm
4 Lightning Axe
2 Merchant of the Vale
2 Mountain
4 Opt
4 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
2 Strategic Planning
2 Sulfur Falls
4 Thing in the Ice
4 Treasure Cruise
4 Wild Slash

3 Abrade
2 Anger of the Gods
3 Chandra, Torch of Defiance
1 Fry
2 Mystical Dispute
1 Spell Pierce
3 The Royal Scions",
25,Simic Aggro,ack_s,2457063,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
4 Elvish Mystic
6 Forest
2 Ghalta, Primal Hunger
2 Gilded Goose
2 Hashep Oasis
3 Heart of Kiran
3 Kiora, Behemoth Beckoner
4 Llanowar Elves
4 Lovestruck Beast
4 Oko, Thief of Crowns
1 Once Upon a Time
2 Questing Beast
3 Smuggler's Copter
4 Steel Leaf Champion
4 Stubborn Denial
4 Yavimaya Coast

2 Feed the Clan
1 Heroic Intervention
2 Mystical Dispute
2 Pithing Needle
2 Reclamation Sage
2 Silent Gravestone
2 Sleep
2 Veil of Summer",
26,Simic Midrange,ilpaws,2457062,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
2 Elder Deep-Fiend
4 Elvish Mystic
1 Forest
3 Hashep Oasis
1 Ipnu Rivulet
1 Island
4 Llanowar Elves
4 Lovestruck Beast
4 Mutavault
4 Oko, Thief of Crowns
4 Once Upon a Time
4 Reality Smasher
4 Smuggler's Copter
3 Stubborn Denial
4 Thought-Knot Seer
1 Warping Wail
4 Yavimaya Coast

2 Disdainful Stroke
2 Mystical Dispute
2 Phyrexian Revoker
2 Reclamation Sage
2 Scavenging Ooze
2 Spatial Contortion
2 Veil of Summer
1 Warping Wail",
27,Simic Ramp,RagingMachismo,2457070,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
2 Courser of Kruphix
4 Elvish Mystic
8 Forest
4 Hydroid Krasis
4 Leyline of Abundance
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oath of Nissa
4 Once Upon a Time
2 Polukranos, World Eater
4 Sylvan Caryatid
4 Walking Ballista

2 Cyclonic Rift
4 Negate
3 Nylea's Disciple
2 Pithing Needle
2 Scavenging Ooze
2 Ugin, the Spirit Dragon",Gx Ramp
28,Simic Ramp,maximusdee,2457069,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
4 Burning-Tree Emissary
4 Elvish Mystic
8 Forest
4 Hydroid Krasis
4 Leyline of Abundance
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oath of Nissa
4 Once Upon a Time
2 Polukranos, World Eater
2 Sylvan Caryatid
1 Ulamog, the Ceaseless Hunger
3 Walking Ballista

1 Hornet Queen
2 Negate
3 Nylea's Disciple
2 Scavenging Ooze
3 Veil of Summer
2 Voracious Hydra
2 Whisperwood Elemental",Simic Midrange
29,Simic Ramp,xfile,2457072,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
1 Castle Garenbrig
4 Elvish Mystic
8 Forest
4 Hydroid Krasis
1 Kiora, Master of the Depths
4 Leyline of Abundance
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oath of Nissa
2 Oko, Thief of Crowns
4 Once Upon a Time
2 Polukranos, World Eater
4 Sylvan Caryatid
2 Walking Ballista

2 Courser of Kruphix
1 Cyclonic Rift
1 Grafdigger's Cage
1 Oko, Thief of Crowns
2 Reclamation Sage
2 Scavenging Ooze
2 Sorcerous Spyglass
3 Veil of Summer
1 Walking Ballista",Simic Midrange
