,Deck,Player,ID,Tournament,Date,Format,Size,Decklist,Deck Adjusted
49,Mono-Black Aggro,questionmuppet,2541526,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"1 Aethersphere Harvester
4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Knight of the Ebon Legion
2 Murderous Rider
4 Mutavault
3 Night Market Lookout
3 Rankle, Master of Pranks
4 Scrapheap Scrounger
4 Smuggler's Copter
3 Spawn of Mayhem
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

1 Aethersphere Harvester
4 Dark Betrayal
4 Duress
3 Grasp of Darkness
3 Kalitas, Traitor of Ghet",Bx Aggro
50,Mono-Green Devotion,buyiedward,2541522,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"2 Aspect of Hydra
1 Blossoming Defense
4 Burning-Tree Emissary
2 Castle Garenbrig
4 Elvish Mystic
15 Forest
2 Ghalta, Primal Hunger
4 Llanowar Elves
3 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
1 Nylea, God of the Hunt
4 Once Upon a Time
2 Questing Beast
4 Steel Leaf Champion
1 The Great Henge
1 Vivien, Arkbow Ranger
4 Voracious Hydra
2 Walking Ballista

1 Blossoming Defense
2 Heroic Intervention
1 Mistcutter Hydra
2 Nylea's Disciple
1 Questing Beast
3 Reclamation Sage
1 Scavenging Ooze
2 Shapers' Sanctuary
1 The Great Henge
1 Vivien, Arkbow Ranger",Gx Ramp
51,Rakdos Aggro,Stelli,2541531,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Blood Crypt
4 Bomat Courier
1 Bonecrusher Giant
1 Canyon Slough
4 Dragonskull Summit
4 Foreboding Ruins
2 Glorybringer
4 Goblin Chainwhirler
1 Kolaghan's Command
11 Mountain
1 Pia Nalaar
1 Ramunap Ruins
4 Rekindling Phoenix
4 Scrapheap Scrounger
4 Smuggler's Copter
4 Soul-Scar Mage
3 Unlicensed Disintegration
3 Wild Slash

1 Abrade
3 Blood Sun
2 Chandra, Torch of Defiance
1 Kolaghan's Command
4 Magma Spray
4 Thoughtseize",Rx Aggro
52,Simic Aggro,muruga,2541529,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
2 Elvish Mystic
5 Forest
3 Gilded Goose
2 Hashep Oasis
2 Heart of Kiran
2 Hinterland Harbor
3 Llanowar Elves
4 Lovestruck Beast
4 Oko, Thief of Crowns
4 Once Upon a Time
3 Questing Beast
2 Rhonas the Indomitable
1 Scavenging Ooze
4 Steel Leaf Champion
4 Stubborn Denial
3 Wicked Wolf
4 Yavimaya Coast

4 Disdainful Stroke
4 Entrancing Melody
1 Pithing Needle
3 Scavenging Ooze
3 Unravel the Aether",
53,Simic Midrange,_Phoenix_,2541523,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
1 Castle Garenbrig
3 Elvish Mystic
8 Forest
4 Gilded Goose
4 Hydroid Krasis
4 Jadelight Ranger
3 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oko, Thief of Crowns
4 Once Upon a Time
2 Scavenging Ooze
3 Voracious Hydra
4 Wicked Wolf

1 Carnage Tyrant
2 Lifecrafter's Bestiary
2 Questing Beast
2 Reclamation Sage
1 Scavenging Ooze
3 Shapers' Sanctuary
1 Shifting Ceratops
2 Sorcerous Spyglass
1 Thrashing Brontodon",
54,WG,Alex_Brown,2541530,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 All That Glitters
4 Bassara Tower Archer
4 Cartouche of Solidarity
4 Ethereal Armor
4 Forest
4 Fortified Village
1 Gift of Orzhova
4 Gladecover Scout
4 Gryff's Boon
4 Mana Confluence
4 Once Upon a Time
4 Season of Growth
3 Sentinel's Mark
4 Sunpetal Grove
4 Temple Garden
4 Unflinching Courage

2 Leyline of Sanctity
3 Pithing Needle
2 Rest in Peace
4 Return to Nature
4 Valorous Stance",
55,Bant Field of the Dead,im2g00t4ubarn,2541542,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Arboreal Grazer
1 Blast Zone
1 Blossoming Sands
1 Botanical Sanctum
1 Breeding Pool
1 Castle Vantress
1 Detention Sphere
4 Elvish Rejuvenator
1 Fabled Passage
1 Field of Ruin
4 Field of the Dead
2 Forest
1 Glacial Fortress
4 Growth Spiral
1 Hallowed Fountain
1 Hinterland Harbor
4 Hour of Promise
1 Irrigated Farmland
1 Island
2 Plains
2 Scapeshift
1 Scattered Groves
2 Seal Away
2 Sphinx's Revelation
1 Sunpetal Grove
4 Supreme Verdict
4 Teferi, Time Raveler
1 Temple Garden
1 Temple of Enlightenment
1 Temple of Mystery
1 Temple of Plenty
1 Thornwood Falls
1 Tranquil Cove
1 Westvale Abbey

3 Knight of Autumn
1 Linvala, the Preserver
1 Lyra Dawnbringer
2 Negate
2 Rest in Peace
2 Seal Away
3 Tireless Tracker
1 World Breaker",Bant Field Ramp
56,Fires Superfriends,maikage,2541539,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"1 Castle Vantress
1 Clifftop Retreat
4 Deafening Clarion
2 Detention Sphere
2 Devout Decree
1 Elspeth, Sun's Champion
3 Fae of Wishes
4 Fires of Invention
1 Geier Reach Sanitarium
1 Gideon of the Trials
1 Glacial Fortress
4 Hallowed Fountain
2 Heart of Kiran
4 Interplanar Beacon
1 Island
2 Jace, Architect of Thought
1 Mystic Monastery
4 Narset, Parter of Veils
1 Plains
3 Sacred Foundry
2 Steam Vents
1 Sulfur Falls
2 Supreme Verdict
3 Teferi, Hero of Dominaria
4 Teferi, Time Raveler
1 Temple of Enlightenment
2 Temple of Epiphany
2 Temple of Triumph

2 Authority of the Consuls
1 Casualties of War
1 Chandra, Awakened Inferno
1 Day's Undoing
1 Deploy the Gatewatch
1 Geier Reach Sanitarium
1 Gideon's Intervention
1 Hour of Revelation
1 Oath of Teferi
1 Pithing Needle
1 Possibility Storm
1 Rest in Peace
1 Sarkhan the Masterless
1 Supreme Verdict",
57,Golgari Lands,Ichorid,2541538,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Abrupt Decay
2 Arboreal Grazer
1 Blooming Marsh
1 Castle Garenbrig
1 Castle Locthwain
1 Crumbling Vestige
4 Elvish Rejuvenator
1 Fabled Passage
4 Fatal Push
1 Field of Ruin
4 Field of the Dead
3 Forest
1 Gilded Goose
1 Hashep Oasis
1 Hissing Quagmire
4 Hour of Promise
1 Ifnir Deadlands
1 Jungle Hollow
2 Kalitas, Traitor of Ghet
2 Legion's End
2 Llanowar Wastes
4 Once Upon a Time
2 Overgrown Tomb
2 Swamp
1 Temple of Malady
4 Tireless Tracker
1 Urborg, Tomb of Yawgmoth
2 Vraska's Contempt
1 Westvale Abbey
1 Woodland Cemetery

2 Infernal Reckoning
4 Oblivion Sower
4 Thoughtseize
1 Ulamog, the Ceaseless Hunger
2 Unravel the Aether
2 World Breaker",
58,Golgari Lands,patrick50,2541537,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Abrupt Decay
3 Arboreal Grazer
1 Blooming Marsh
1 Castle Locthwain
2 Courser of Kruphix
1 Crumbling Vestige
4 Elvish Rejuvenator
2 Fabled Passage
4 Fatal Push
1 Field of Ruin
4 Field of the Dead
2 Forest
1 Hashep Oasis
1 Hissing Quagmire
4 Hour of Promise
1 Ifnir Deadlands
1 Jungle Hollow
2 Kalitas, Traitor of Ghet
2 Llanowar Wastes
2 Murderous Rider
4 Once Upon a Time
2 Overgrown Tomb
1 Radiant Fountain
2 Swamp
1 Temple of Malady
4 Tireless Tracker
1 Urborg, Tomb of Yawgmoth
1 Westvale Abbey
1 Woodland Cemetery

2 Casualties of War
2 Dark Betrayal
2 Duress
1 Noxious Grasp
2 Oblivion Sower
2 Thought-Knot Seer
4 Thoughtseize",
59,Green Field Ramp,Aardos,2541535,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Arboreal Grazer
1 Arch of Orazca
2 Blast Zone
4 Castle Garenbrig
2 Desert of the Indomitable
4 Elvish Rejuvenator
1 Field of Ruin
2 Field of the Dead
6 Forest
3 Hashep Oasis
4 Hour of Promise
4 Nissa's Pilgrimage
4 Once Upon a Time
1 Radiant Fountain
1 Sanctum of Ugin
1 Scavenger Grounds
3 Shrine of the Forsaken Gods
3 Spatial Contortion
4 Ugin, the Spirit Dragon
2 Ulamog, the Ceaseless Hunger
1 Walking Ballista
1 Westvale Abbey
2 World Breaker

2 Courser of Kruphix
2 Fell the Pheasant
2 Oblivion Sower
1 Perilous Vault
1 Spatial Contortion
3 Thought-Knot Seer
2 Unravel the Aether
1 Walking Ballista
1 World Breaker",
60,Gruul Aggro,contrap,2541543,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"3 Abrade
4 Elvish Mystic
2 Embercleave
7 Forest
4 Game Trail
3 Ghor-Clan Rampager
4 Goblin Rabblemaster
4 Legion Warboss
4 Llanowar Elves
4 Lovestruck Beast
5 Mountain
4 Once Upon a Time
4 Questing Beast
4 Smuggler's Copter
4 Stomping Ground

2 Aethersphere Harvester
3 Crumble to Dust
3 Lava Coil
1 Outpost Siege
3 Reclamation Sage
2 Scavenging Ooze
1 Xenagos, the Reveler",Rx Aggro
61,Human Weenies,Nosferatu,2541540,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"4 Benalish Marshal
4 Boros Elite
4 Brave the Elements
1 Castle Ardenvale
4 Dauntless Bodyguard
4 Declaration in Stone
2 Giant Killer
4 Knight of the White Orchid
2 Kytheon, Hero of Akros
3 Mardu Woe-Reaper
15 Plains
3 Shefet Dunes
4 Thalia's Lieutenant
4 Thraben Inspector
2 Venerated Loxodon

3 Apostle of Purifying Light
1 Devout Decree
2 Disenchant
2 Gideon Blackblade
1 Knight of Grace
1 Pithing Needle
2 Selfless Spirit
3 Silkwrap",
62,Mono-Green Devotion,j65536d,2541541,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"1 Arch of Orazca
4 Burning-Tree Emissary
1 Castle Garenbrig
4 Elvish Mystic
1 Elvish Visionary
15 Forest
4 Jadelight Ranger
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
2 Scavenging Ooze
4 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

1 Atzocan Archer
1 Hornet Nest
1 Hornet Queen
1 Nissa, Voice of Zendikar
2 Nylea's Disciple
1 Questing Beast
2 Reclamation Sage
1 Scavenging Ooze
2 Shapers' Sanctuary
1 Ulamog, the Ceaseless Hunger
2 Whisperwood Elemental",Gx Ramp
63,Sultai Control,Colomino,2541536,Pioneer PTQ #12033249,11/29/2019,Pioneer,32,"1 Abrupt Decay
2 Ashiok, Dream Render
2 Assassin's Trophy
4 Blooming Marsh
2 Botanical Sanctum
2 Breeding Pool
1 Courser of Kruphix
1 Dark Petition
1 Dig Through Time
2 Drowned Catacomb
2 Fabled Passage
3 Fatal Push
1 Flaying Tendrils
2 Forest
4 Gilded Goose
2 Hinterland Harbor
1 Island
2 Jace, Vryn's Prodigy
1 Kalitas, Traitor of Ghet
2 Languish
1 Legion's End
2 Liliana, the Last Hope
1 Llanowar Elves
1 Murderous Rider
3 Oko, Thief of Crowns
3 Overgrown Tomb
1 Pithing Needle
1 Scavenging Ooze
2 Swamp
4 Thoughtseize
1 Vraska, Golgari Queen
2 Watery Grave

1 Ashiok, Dream Render
3 Blightbeetle
1 Crux of Fate
2 Disdainful Stroke
1 Duress
1 Kalitas, Traitor of Ghet
1 Negate
1 Scavenging Ooze
1 Thief of Sanity
2 Unmoored Ego
1 Yahenni's Expertise",
64,Mono-Black Aggro,Gerardo94,2535668,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"1 Aethersphere Harvester
4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Knight of the Ebon Legion
4 Murderous Rider
4 Mutavault
4 Night Market Lookout
3 Rankle, Master of Pranks
4 Scrapheap Scrounger
4 Smuggler's Copter
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

1 Dark Betrayal
4 Duress
3 Grasp of Darkness
2 Kalitas, Traitor of Ghet
1 Legion's End
2 Noxious Grasp
2 Virulent Plague",Bx Aggro
65,Green Field Ramp,Bosley,2535671,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Arboreal Grazer
1 Arch of Orazca
1 Blast Zone
4 Castle Garenbrig
1 Crumbling Vestige
4 Elvish Rejuvenator
2 Field of the Dead
6 Forest
2 Hashep Oasis
4 Hour of Promise
1 Llanowar Wastes
4 Nissa's Pilgrimage
3 Oblivion Sower
4 Once Upon a Time
1 Radiant Fountain
2 Sanctum of Ugin
1 Scavenger Grounds
1 Sheltered Thicket
3 Shrine of the Forsaken Gods
4 Ugin, the Spirit Dragon
1 Ulamog, the Ceaseless Hunger
1 Westvale Abbey
4 World Breaker
1 Yavimaya Coast

1 Oblivion Sower
4 Spatial Contortion
1 Sylvan Primordial
4 Thought-Knot Seer
1 Ulamog, the Ceaseless Hunger
4 Unravel the Aether",
66,Gruul Aggro,oniiman,2535669,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Bonecrusher Giant
1 Domri's Ambush
4 Elvish Mystic
2 Embercleave
8 Forest
4 Game Trail
2 Ghor-Clan Rampager
4 Goblin Rabblemaster
4 Llanowar Elves
4 Lovestruck Beast
6 Mountain
2 Once Upon a Time
3 Questing Beast
4 Smuggler's Copter
4 Stomping Ground
2 Vine Mare
2 Wild Slash

3 Blood Sun
1 Fry
3 Lava Coil
3 Reclamation Sage
3 Shapers' Sanctuary
2 Vine Mare",Rx Aggro
67,Simic Aggro,miyamoto0321,2535666,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"2 Aethersphere Harvester
4 Botanical Sanctum
4 Breeding Pool
3 Elvish Mystic
4 Forest
3 Gilded Goose
3 Hashep Oasis
2 Heart of Kiran
2 Hinterland Harbor
2 Llanowar Elves
4 Lovestruck Beast
4 Oko, Thief of Crowns
4 Once Upon a Time
3 Questing Beast
2 Rhonas the Indomitable
4 Steel Leaf Champion
3 Stubborn Denial
3 Wicked Wolf
4 Yavimaya Coast

2 Aether Gust
1 Aethersphere Harvester
4 Disdainful Stroke
2 Pithing Needle
2 Scavenging Ooze
1 Stubborn Denial
2 Unravel the Aether
1 Wicked Wolf",
68,Simic Food,oosunq,2535670,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"1 Blossoming Defense
4 Botanical Sanctum
4 Brazen Borrower
4 Breeding Pool
2 Elvish Mystic
8 Forest
4 Gilded Goose
2 Heart of Kiran
4 Hydroid Krasis
1 Island
2 Llanowar Elves
3 Mutavault
4 Nissa, Who Shakes the World
4 Oko, Thief of Crowns
4 Once Upon a Time
2 Tireless Tracker
4 Wicked Wolf
3 Yavimaya Coast

1 Cyclonic Rift
2 Disdainful Stroke
3 Entrancing Melody
2 Negate
2 Questing Beast
2 Reclamation Sage
2 Scavenging Ooze
1 Tireless Tracker",
69,Bant Field of the Dead,Blumpie,2535676,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Approach of the Second Sun
3 Arboreal Grazer
1 Blast Zone
1 Blossoming Sands
1 Botanical Sanctum
1 Breeding Pool
4 Elvish Rejuvenator
1 Fabled Passage
1 Field of Ruin
4 Field of the Dead
2 Forest
1 Glacial Fortress
4 Growth Spiral
1 Hallowed Fountain
1 Hinterland Harbor
4 Hour of Promise
2 Hydroid Krasis
1 Irrigated Farmland
1 Island
1 Lumbering Falls
1 Plains
1 Scattered Groves
1 Scavenger Grounds
2 Sphinx's Revelation
1 Sunpetal Grove
4 Supreme Verdict
3 Teferi, Time Raveler
1 Temple Garden
1 Temple of Enlightenment
1 Temple of Mystery
1 Temple of Plenty
1 Thornwood Falls
1 Tranquil Cove
1 Ugin, the Spirit Dragon
1 Westvale Abbey

1 Blessed Alliance
2 Declaration in Stone
2 Disdainful Stroke
2 Knight of Autumn
2 Mystical Dispute
2 Narset, Parter of Veils
1 Rest in Peace
2 Settle the Wreckage
1 Ulamog, the Ceaseless Hunger",Bant Field Ramp
70,Bant Field of the Dead,chococookie,2535681,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"2 Arboreal Grazer
2 Azorius Charm
1 Blast Zone
1 Blossoming Sands
1 Botanical Sanctum
1 Breeding Pool
1 Castle Vantress
1 Detention Sphere
4 Elvish Rejuvenator
1 Fabled Passage
1 Field of Ruin
4 Field of the Dead
2 Forest
1 Glacial Fortress
4 Growth Spiral
1 Hallowed Fountain
1 Hinterland Harbor
4 Hour of Promise
2 Hydroid Krasis
1 Irrigated Farmland
1 Island
1 Lumbering Falls
2 Plains
1 Scattered Groves
1 Scavenger Grounds
2 Settle the Wreckage
3 Sphinx's Revelation
1 Sunpetal Grove
3 Supreme Verdict
3 Teferi, Time Raveler
1 Temple Garden
1 Temple of Enlightenment
1 Temple of Mystery
1 Temple of Plenty
1 Tranquil Cove
1 Ugin, the Spirit Dragon

2 Devout Decree
1 Disdainful Stroke
2 Dovin's Veto
4 Knight of Autumn
1 Pithing Needle
2 Rest in Peace
1 Supreme Verdict
2 Tireless Tracker",Bant Field Ramp
71,Golgari Lands,AruleanRanger44,2535684,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Abrupt Decay
1 Blooming Marsh
1 Castle Locthwain
1 Crumbling Vestige
1 Elvish Reclaimer
4 Elvish Rejuvenator
1 Fabled Passage
2 Fatal Push
1 Field of Ruin
4 Field of the Dead
3 Forest
3 Gilded Goose
1 Hashep Oasis
1 Hissing Quagmire
4 Hour of Promise
1 Ifnir Deadlands
1 Legion's End
2 Llanowar Wastes
1 Nissa, Vastwood Seer
4 Once Upon a Time
2 Overgrown Tomb
1 Radiant Fountain
2 Swamp
1 Temple of Malady
4 Thoughtseize
4 Tireless Tracker
1 Urborg, Tomb of Yawgmoth
2 Vraska's Contempt
1 Westvale Abbey
1 Woodland Cemetery

2 Casualties of War
1 Duress
2 Fatal Push
1 Legion's End
1 Liliana, the Last Hope
2 Lost Legacy
1 Noxious Grasp
1 Ritual of Soot
1 Ugin, the Spirit Dragon
1 Ultimate Price
2 Unravel the Aether",
72,Green Field Ramp,Suicidal_Eidolon,2535687,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Arboreal Grazer
2 Blast Zone
1 Cascading Cataracts
3 Castle Garenbrig
1 Desert of the Indomitable
4 Elvish Rejuvenator
1 Field of Ruin
2 Field of the Dead
7 Forest
3 Hashep Oasis
4 Hour of Promise
4 Nissa's Pilgrimage
4 Once Upon a Time
1 Radiant Fountain
2 Sanctum of Ugin
1 Scavenger Grounds
3 Shrine of the Forsaken Gods
4 Spatial Contortion
4 Ugin, the Spirit Dragon
2 Ulamog, the Ceaseless Hunger
1 Westvale Abbey
2 World Breaker

1 Courser of Kruphix
1 Emrakul, the Promised End
2 Gilded Goose
4 Oblivion Sower
3 Thought-Knot Seer
2 Unravel the Aether
2 Walking Ballista",
73,Gruul Aggro,Zyrnak,2535678,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Bonecrusher Giant
1 Domri's Ambush
4 Elvish Mystic
2 Embercleave
8 Forest
4 Game Trail
2 Ghor-Clan Rampager
4 Goblin Rabblemaster
4 Llanowar Elves
4 Lovestruck Beast
6 Mountain
2 Once Upon a Time
3 Questing Beast
4 Smuggler's Copter
4 Stomping Ground
2 Vine Mare
2 Wild Slash

3 Blood Sun
1 Fry
3 Lava Coil
3 Reclamation Sage
3 Shapers' Sanctuary
2 Vine Mare",Rx Aggro
74,Gruul Aggro,auzzie51,2535683,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"3 Abrade
4 Elvish Mystic
2 Embercleave
7 Forest
4 Game Trail
3 Ghor-Clan Rampager
4 Goblin Rabblemaster
4 Legion Warboss
4 Llanowar Elves
4 Lovestruck Beast
5 Mountain
4 Once Upon a Time
4 Questing Beast
4 Smuggler's Copter
4 Stomping Ground

2 Aethersphere Harvester
1 Crumble to Dust
2 Glorybringer
3 Lava Coil
2 Magma Spray
3 Reclamation Sage
2 Scavenging Ooze",Rx Aggro
75,Gruul Aggro,dillyg10,2535685,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"1 Abrade
4 Bonecrusher Giant
4 Elvish Mystic
2 Embercleave
8 Forest
4 Game Trail
2 Ghor-Clan Rampager
4 Goblin Rabblemaster
4 Llanowar Elves
4 Lovestruck Beast
6 Mountain
2 Once Upon a Time
3 Questing Beast
4 Smuggler's Copter
4 Stomping Ground
2 Vine Mare
2 Wild Slash

3 Blood Sun
2 Chandra, Torch of Defiance
2 Glorybringer
3 Mizzium Mortars
2 Reclamation Sage
1 Roast
2 Vine Mare",Rx Aggro
76,Human Weenies,Nosferatu,2535680,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Benalish Marshal
4 Boros Elite
4 Brave the Elements
1 Castle Ardenvale
4 Dauntless Bodyguard
4 Declaration in Stone
2 Giant Killer
4 Knight of the White Orchid
2 Kytheon, Hero of Akros
4 Mardu Woe-Reaper
15 Plains
2 Shefet Dunes
4 Thalia's Lieutenant
4 Thraben Inspector
2 Venerated Loxodon

2 Apostle of Purifying Light
2 Devout Decree
2 Disenchant
2 Gideon, Ally of Zendikar
2 Knight of Grace
2 Selfless Spirit
3 Silkwrap",
77,Mono-Black Aggro,I9K,2535665,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"2 Aethersphere Harvester
4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Knight of the Ebon Legion
4 Murderous Rider
4 Mutavault
4 Night Market Lookout
1 Rankle, Master of Pranks
4 Scrapheap Scrounger
4 Smuggler's Copter
3 Spawn of Mayhem
14 Swamp
2 Thoughtseize
2 Urborg, Tomb of Yawgmoth

3 Dark Betrayal
2 Duress
2 Infernal Reckoning
2 Legion's End
2 Noxious Grasp
2 Thoughtseize
2 Virulent Plague",Bx Aggro
78,Mono-Black Aggro,L1X0,2535675,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Knight of the Ebon Legion
3 Murderous Rider
4 Mutavault
3 Night Market Lookout
3 Rankle, Master of Pranks
4 Scrapheap Scrounger
4 Smuggler's Copter
3 Spawn of Mayhem
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

3 Dark Betrayal
3 Duress
1 Fourth Bridge Prowler
1 Infernal Reckoning
3 Kalitas, Traitor of Ghet
4 Noxious Grasp",Bx Aggro
79,Mono-Black Aggro,_Lenny_,2535672,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Knight of the Ebon Legion
2 Murderous Rider
4 Mutavault
3 Night Market Lookout
3 Rankle, Master of Pranks
4 Scrapheap Scrounger
4 Smuggler's Copter
4 Spawn of Mayhem
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

4 Dark Betrayal
4 Duress
1 Infernal Reckoning
2 Kalitas, Traitor of Ghet
1 Liliana, the Last Hope
3 Noxious Grasp",Bx Aggro
80,Mono-Black Aggro,angelsjeffrey,2535667,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Knight of the Ebon Legion
4 Murderous Rider
4 Mutavault
4 Night Market Lookout
3 Rankle, Master of Pranks
4 Scrapheap Scrounger
4 Smuggler's Copter
1 Spawn of Mayhem
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

1 Bile Blight
1 Dark Betrayal
3 Duress
2 Fourth Bridge Prowler
2 Kalitas, Traitor of Ghet
2 Legion's End
3 Noxious Grasp
1 Spawn of Mayhem",Bx Aggro
81,Mono-Black Aggro,exoticherman,2535674,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Knight of the Ebon Legion
3 Murderous Rider
4 Mutavault
4 Night Market Lookout
3 Rankle, Master of Pranks
4 Scrapheap Scrounger
4 Smuggler's Copter
2 Spawn of Mayhem
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

2 Bile Blight
3 Dark Betrayal
3 Duress
1 Infernal Reckoning
2 Kalitas, Traitor of Ghet
2 Noxious Grasp
2 Virulent Plague",Bx Aggro
82,Mono-Green Stompy,KO_Mak,2535686,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"1 Burning-Tree Emissary
4 Castle Garenbrig
4 Elvish Mystic
17 Forest
4 Ghalta, Primal Hunger
1 Heart of Kiran
4 Llanowar Elves
4 Lovestruck Beast
1 Nissa, Who Shakes the World
4 Once Upon a Time
4 Questing Beast
3 Rhonas the Indomitable
4 Steel Leaf Champion
2 Surrak, the Hunt Caller
1 The Great Henge
2 Yorvo, Lord of Garenbrig

1 Heart of Kiran
4 Hunt the Hunter
1 Nissa, Who Shakes the World
1 Pithing Needle
2 Prey Upon
1 Ratchet Bomb
1 Stinging Shot
2 Unravel the Aether
2 Vivien Reid",Gx Stompy
83,Mono-Red Aggro,suitedspades,2535677,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Bomat Courier
1 Castle Embereth
2 Experimental Frenzy
4 Ghitu Lavarunner
4 Light Up the Stage
4 Lightning Strike
4 Monastery Swiftspear
13 Mountain
4 Ramunap Ruins
2 Runaway Steam-Kin
4 Searing Blood
2 Shock
4 Soul-Scar Mage
4 Wild Slash
4 Wizard's Lightning

2 Aethersphere Harvester
1 Burning Earth
2 Forge Devil
3 Lava Coil
3 Magma Spray
1 Rampaging Ferocidon
1 Skullcrack
2 Smash to Smithereens",Rx Aggro
84,Orzhov Aggro,mp101147,2535682,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Caves of Koilos
4 Concealed Courtyard
4 Fatal Push
2 Gideon Blackblade
3 Gideon, Ally of Zendikar
4 Godless Shrine
3 Heart of Kiran
1 Isolated Chapel
4 Mutavault
4 Plains
4 Scrapheap Scrounger
4 Smuggler's Copter
1 Swamp
3 Thalia, Heretic Cathar
4 Thoughtseize
4 Thraben Inspector
4 Toolcraft Exemplar
1 Urborg, Tomb of Yawgmoth
2 Walking Ballista

2 Blightbeetle
4 Dark Betrayal
2 Declaration in Stone
2 Duress
1 Fragmentize
2 Kalitas, Traitor of Ghet
1 Kambal, Consul of Allocation
1 Noxious Grasp",
85,Simic Midrange,starwarsguy6,2535664,Pioneer PTQ #12028088,11/28/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
1 Castle Garenbrig
3 Elvish Mystic
8 Forest
4 Gilded Goose
4 Hydroid Krasis
4 Jadelight Ranger
3 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oko, Thief of Crowns
4 Once Upon a Time
2 Scavenging Ooze
3 Voracious Hydra
4 Wicked Wolf

1 Carnage Tyrant
2 Lifecrafter's Bestiary
2 Questing Beast
2 Reclamation Sage
1 Scavenging Ooze
3 Shapers' Sanctuary
1 Shifting Ceratops
2 Sorcerous Spyglass
1 Thrashing Brontodon",
